"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
683,"最爱",7.2,114436,"顾长卫","章子怡/郭富城/濮存昕","剧情/爱情","中国大陆/香港",6008,2011-05-10,"国产"
684,"无敌浩克 The Incredible Hulk",6.8,78507,"路易斯·莱特里尔","爱德华·诺顿/丽芙·泰勒/蒂姆·罗斯","动作/科幻/惊悚","美国",6000,2008-08-20,"进口分账"
685,"合约男女",4.4,9581,"刘国楠","郑秀文/张孝全/林雪","喜剧/爱情","中国大陆",5954,2017-02-14,"国产"
686,"风云2 风云Ⅱ",4.8,28220,"彭顺/彭发","郭富城/郑伊健/蔡卓妍","动作/冒险/奇幻","香港/中国",5923,2009-12-09,"国产"
687,"神笔马良",5.5,5928,"钟智行","邵亦琛/孟祥龙/洪海天","动画/奇幻","中国大陆",5874,2014-07-25,"国产"
688,"百星酒店",5.7,18097,"谷德昭","郑中基/黄百鸣/杜汶泽","喜剧/爱情","中国大陆/香港",5838,2013-02-01,"国产"
689,"笔仙",4.7,11662,"安兵基","梅婷/郭京飞/吴超","悬疑/恐怖","中国大陆",5827,2012-07-17,"国产"
690,"天际浩劫 Skyline",4.4,28653,"科林·施特劳斯/格雷格·施特劳斯","艾里克·巴弗尔/唐纳德·法森/斯考蒂·汤姆森","动作/科幻/灾难","美国",5765,2011-06-03,"进口"
691,"唐伯虎点秋香2之四大才子",4,24138,"李力持","黄晓明/周立波/任贤齐","喜剧/古装","中国大陆/香港",5757,2010-07-08,"国产"
692,"潜艇总动员3：彩虹宝藏",4.2,1181,"何子力","范楚绒/洪海天/谢元真","动画/儿童","中国大陆",5755,2013-05-31,"国产"
693,"灵魂战车2：复仇时刻 Ghost Rider: Spirit of Vengeance",5.4,34990,"马克·耐沃尔代/布莱恩·泰勒","尼古拉斯·凯奇/塞伦·希德/伊德里斯·艾尔巴","动作/奇幻/惊悚","美国",5745,2012-04-20,"进口"
694,"龙之谷：破晓奇兵",7.4,16864,"宋岳峰","胡歌/景甜/徐娇","动画/奇幻/冒险","中国大陆",5728,2014-07-31,"国产"
695,"亚瑟王：斗兽争霸 King Arthur: Legend of the Sword",7.1,37208,"盖·里奇","查理·汉纳姆/裘德·洛/阿斯特丽德·伯格斯-弗瑞斯贝","动作/奇幻/冒险","美国",5698,2017-05-12,"进口特种"
696,"加菲猫2 Garfield: A Tail of Two Kitties",7.4,58585,"TimHill","比尔·默瑞/布瑞金·梅耶/詹妮弗·洛芙·休伊特","喜剧/家庭","英国/美国",5673,2006-08-11,"进口分账"
697,"赤焰战场2 Red 2",7,46837,"迪恩·帕里索特","布鲁斯·威利斯/玛丽·露易斯·帕克/凯瑟琳·泽塔-琼斯","喜剧/动作/犯罪","美国/法国/加拿大",5666,2013-11-15,"进口"
698,"别惹我 Malavita",7.1,51342,"吕克·贝松","罗伯特·德尼罗/米歇尔·菲佛/迪安娜·阿格隆","喜剧/动作/犯罪/惊悚","法国/美国",5664,2014-03-07,"进口"
699,"赛尔号大电影5：雷神崛起",3.7,2287,"王章俊","罗玉婷/翟巍/王晓彤","剧情/儿童/动画/冒险","中国大陆",5663,2015-07-23,"国产"
700,"从天“儿”降",3.4,13685,"魏楠/魏民","陈学冬/张艺兴/姜雯","喜剧","中国大陆",5662,2015-12-04,"国产"
701,"贫民窟的百万富翁 Slumdog Millionaire",8.5,390419,"丹尼·博伊尔/洛芙琳·坦丹","戴夫·帕特尔/沙鲁巴·舒克拉/亚尼·卡普","剧情/爱情","英国/美国",5628,2009-03-26,"进口分账"
702,"海绵宝宝 The SpongeBob Movie: Sponge Out of Water",7.2,20096,"保罗·提比特/迈克·米歇尔","安东尼奥·班德拉斯/艾瑞克·鲍扎/蒂姆·康威","喜剧/动画/冒险","美国",5615,2015-12-01,"进口分账"
703,"周恩来的四个昼夜",4.9,3113,"陈力","孙维民/何伟/储智博","剧情/历史","中国大陆",5598,2013-07-16,"国产"
704,"南极大冒险 Eight Below",8.6,49567,"弗兰克·马歇尔","保罗·沃克/布鲁斯·格林伍德/穆恩·布拉得古德","剧情/冒险","美国",5547,2006-04-21,"进口分账"
705,"海啸奇迹 Lo imposible",7.5,36718,"胡安·安东尼奥·巴亚纳","娜奥米·沃茨/伊万·麦克格雷格/汤姆·霍兰德","剧情/灾难/家庭","西班牙/美国",5509,2013-08-29,"进口"
706,"师父",8.1,144339,"徐浩峰","廖凡/宋佳/蒋雯丽","剧情/动作/武侠","中国大陆",5478,2015-12-10,"国产"
707,"魔发精灵 Trolls",7.2,12086,"迈克·米歇尔/沃尔特·道恩","安娜·肯德里克/贾斯汀·汀布莱克/佐伊·丹斯切尔","动画/奇幻/冒险/歌舞","美国",5474,2016-10-25,"进口特种"
708,"脱轨时代",6.1,14419,"五百","张静初/潘粤明/吴克群","喜剧/爱情","中国大陆",5470,2014-03-07,"国产"
709,"宫锁沉香",4.8,39836,"潘安子","周冬雨/陈晓/朱梓骁","剧情/爱情/古装","中国大陆",5459,2013-08-13,"国产"
710,"恋爱通告",5.9,99222,"王力宏","王力宏/刘亦菲/曾轶可","喜剧/爱情","台湾/中国大陆",5430,2010-08-12,"国产"
711,"巨人捕手杰克 Jack the Giant Slayer",6.1,29563,"布莱恩·辛格","尼古拉斯·霍尔特/埃莉诺·汤姆林森/伊万·麦克格雷格","剧情/奇幻/冒险","美国",5415,2013-03-25,"进口分账"
712,"过年好",5,13368,"高群书","赵本山/闫妮/热依扎","喜剧","中国大陆",5406,2016-02-01,"国产"
713,"快乐的大脚2 Happy Feet Two",7.2,21957,"乔治·米勒","伊利亚·伍德/罗宾·威廉姆斯/红粉佳人","喜剧/动画/歌舞/家庭","澳大利亚",5402,2012-02-21,"进口分账"
714,"刀剑神域：序列之争 劇場版 ソードアート<U+30FB>オンライン -オーディナル<U+30FB>スケール",7.1,11995,"伊藤智彦","松冈祯丞/户松遥/伊藤加奈惠","科幻/动画/冒险","日本",5382,2017-09-15,"进口"
715,"线人 線人",7.3,94437,"林超贤","谢霆锋/张家辉/桂纶镁","动作/剧情/惊悚","香港/中国大陆",5374,2010-08-24,"国产"
716,"鲁滨逊漂流记 Robinson Crusoe",5.6,3183,"文森特·凯斯特鲁特/本·斯塔森","马提亚斯·施维赫夫/卡亚·叶娜尔/伊尔卡·贝桑","喜剧/动画/冒险","比利时/法国",5362,2016-10-04,"进口"
717,"恋爱中的城市",5.6,26453,"文牧野/董润年/韩轶/傅天余/冀佳彤","杨幂/郑开元/江疏影","爱情","中国大陆",5362,2015-08-19,"国产"
718,"快手枪手快枪手",5.1,15228,"潘安子","林更新/张静初/腾格尔","喜剧/动作","中国大陆",5354,2016-07-15,"国产"
719,"十全九美",5.1,86197,"王岳伦","立威廉/黄奕/刘桦","喜剧","中国",5300,2008-08-01,"国产"
