"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
1,"战狼2",7.4,391814,"吴京","吴京/弗兰克·格里罗/吴刚","动作","中国大陆",567432,2017-07-27,"国产"
2,"美人鱼",6.8,398115,"周星驰","邓超/罗志祥/张雨绮","喜剧/爱情/奇幻","中国大陆/香港",339323,2016-02-08,"国产"
3,"速度与激情8 The Fate of the Furious",7.1,180975,"F·加里·格雷","范·迪塞尔/道恩·强森/查理兹·塞隆","动作/犯罪","美国",266870,2017-04-14,"进口分账"
4,"捉妖记",6.8,254044,"许诚毅","白百何/井柏然/姜武","喜剧/奇幻/古装","中国大陆/香港",243817,2015-07-16,"国产"
5,"速度与激情7 Furious 7",8.3,256544,"温子仁","范·迪塞尔/保罗·沃克/杰森·斯坦森","动作/犯罪/惊悚","美国/中国大陆/日本",241600,2015-04-12,"进口分账"
6,"变形金刚4：绝迹重生 Transformers: Age of Extinction",6.5,192956,"迈克尔·贝","马克·沃尔伯格/斯坦利·图齐/凯尔希·格兰莫","动作/科幻","美国/中国大陆",197630,2014-06-27,"进口分账"
7,"功夫瑜伽",5,98356,"唐季礼","成龙/李治廷/张艺兴","喜剧/动作/冒险","中国大陆/印度",175259,2017-01-28,"国产"
8,"寻龙诀",7.5,332907,"乌尔善","陈坤/黄渤/舒淇","剧情/动作/奇幻/冒险","中国大陆/香港",168036,2015-12-18,"国产"
9,"西游伏妖篇",5.6,221556,"徐克","吴亦凡/林更新/姚晨","喜剧/动作/奇幻/古装","中国大陆/香港",165678,2017-01-28,"国产"
10,"港囧",5.6,211160,"徐峥","徐峥/赵薇/包贝尔","喜剧","中国大陆",161183,2015-09-25,"国产"
11,"变形金刚5：最后的骑士 Transformers: The Last Knight",4.8,120102,"迈克尔·贝","马克·沃尔伯格/伊莎贝拉·莫奈/劳拉·哈德克","动作/科幻","美国",154562,2017-06-23,"进口分账"
12,"疯狂动物城 Zootopia",9.2,497087,"拜伦·霍华德/瑞奇·摩尔/杰拉德·布什","金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴","喜剧/动画/冒险","美国",153061,2016-03-04,"进口分账"
13,"魔兽 Warcraft",7.7,180976,"邓肯·琼斯","崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿","动作/奇幻/冒险","美国/中国大陆/加拿大/日本",147194,2016-06-08,"进口分账"
14,"羞羞的铁拳",7.3,174298,"宋阳/张吃鱼","艾伦/马丽/沈腾","喜剧/奇幻","中国大陆",146416,2017-09-30,"国产"
15,"夏洛特烦恼",7.4,353279,"闫非/彭大魔","沈腾/马丽/尹正","喜剧/爱情","中国大陆",144905,2015-09-30,"国产"
16,"复仇者联盟2：奥创纪元 Avengers: Age of Ultron",7.1,205581,"乔斯·韦登","小罗伯特·唐尼/克里斯·海姆斯沃斯/马克·鲁弗洛","动作/科幻/奇幻/冒险","美国",142970,2015-05-12,"进口分账"
17,"阿凡达 Avatar",8.6,522863,"詹姆斯·卡梅隆","萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗","动作/冒险/奇幻/科幻","美国/英国",138249,2010-01-04,"进口分账"
18,"侏罗纪世界 Jurassic World",7.6,202109,"科林·特雷沃罗","克里斯·普拉特/布莱丝·达拉斯·霍华德/文森特·多诺费奥","动作/科幻/冒险","美国/中国大陆",138089,2015-06-10,"进口分账"
19,"摔跤吧！爸爸 Dangal",9.1,401513,"涅提·蒂瓦里","阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔","剧情/传记/运动","印度",129657,2017-05-05,"进口"
20,"人再囧途之泰囧",7.4,426869,"徐峥","徐峥/王宝强/黄渤","喜剧","中国大陆",126739,2012-12-12,"国产"
21,"西游降魔篇",7.1,348545,"周星驰/郭子健","文章/舒淇/黄渤","喜剧/奇幻/冒险","中国大陆/香港",124644,2013-02-10,"国产"
22,"美国队长3 Captain America: Civil War",7.7,214205,"安东尼·罗素/乔·罗素","克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊","动作/科幻/冒险","美国",124620,2016-05-06,"进口分账"
23,"西游记之孙悟空三打白骨精",5.6,95709,"郑保瑞","郭富城/巩俐/冯绍峰","喜剧/动作/奇幻","中国大陆/香港",120180,2016-02-08,"国产"
24,"湄公河行动",8,345584,"林超贤","张涵予/彭于晏/孙淳","动作/犯罪","中国大陆/香港",118521,2016-09-30,"国产"
25,"加勒比海盗5：死无对证 Pirates of the Caribbean: Dead Men Tell No Tales",7.3,163393,"艾斯彭·山德伯格/乔阿吉姆·罗恩尼","约翰尼·德普/哈维尔·巴登/杰弗里·拉什","动作/奇幻/冒险","美国",117824,2017-05-26,"进口分账"
26,"长城 The Great Wall",4.9,229480,"张艺谋","马特·达蒙/景甜/佩德罗·帕斯卡","剧情/动作/奇幻/冒险","中国大陆/美国",117452,2016-12-16,"国产"
27,"心花路放",7,247553,"宁浩","黄渤/徐峥/袁泉","喜剧/爱情","中国大陆",117020,2014-09-30,"国产"
28,"煎饼侠",6,206567,"大鹏","大鹏/袁姗姗/柳岩","喜剧","中国大陆",115954,2015-07-17,"国产"
29,"金刚：骷髅岛 Kong: Skull Island",6.6,121384,"乔丹·沃格特-罗伯茨","汤姆·希德勒斯顿/布丽·拉尔森/塞缪尔·杰克逊","动作/奇幻/冒险","美国/中国大陆/澳大利亚/加拿大",114974,2017-03-24,"进口分账"
30,"极限特工3：终极回归 xXx: Return of Xander Cage",5.6,72294,"D·J·卡卢索","范·迪塞尔/甄子丹/迪皮卡·帕度柯妮","动作/冒险","美国",112793,2017-01-20,"进口分账"
31,"澳门风云3 賭城風雲III",3.9,67434,"王晶/刘伟强","周润发/刘德华/张家辉","喜剧/动作","香港/中国大陆",111880,2016-02-08,"国产"
32,"生化危机：终章 Resident Evil: The Final Chapter",6.6,130779,"保罗·安德森","米拉·乔沃维奇/伊恩·格雷/艾丽·拉特","动作/科幻/恐怖","美国",111236,2017-02-24,"进口"
33,"变形金刚3 Transformers: Dark of the Moon",7,207715,"迈克尔·贝","希亚·拉博夫/罗茜·汉丁顿-惠特莉/乔什·杜哈明","动作/科幻","美国",108080,2011-07-21,"进口分账"
34,"乘风破浪",6.8,286272,"韩寒","邓超/彭于晏/赵丽颖","剧情/喜剧","中国大陆",104914,2017-01-28,"国产"
35,"神偷奶爸3 Despicable Me 3",6.9,107683,"凯尔·巴尔达/皮埃尔·柯芬/埃里克·吉伦","史蒂夫·卡瑞尔/克里斯汀·韦格/崔·帕克","喜剧/动画/冒险","美国",103781,2017-07-07,"进口分账"
36,"盗墓笔记",4.7,126067,"李仁港","井柏然/鹿晗/马思纯","悬疑/奇幻/冒险","中国大陆",100426,2016-08-04,"国产"
37,"功夫熊猫3 Kung Fu Panda 3",7.7,172479,"吕寅荣/亚历山德罗·卡罗尼","杰克·布莱克/安吉丽娜·朱莉/达斯汀·霍夫曼","喜剧/动作/动画/冒险","美国/中国大陆",100262,2016-01-29,"国产"
38,"西游记之大闹天宫",4.1,103369,"郑保瑞","甄子丹/周润发/郭富城","动作/奇幻","中国大陆/香港",104467,2014-01-31,"国产"
39,"奇幻森林 The Jungle Book",7.8,152615,"乔恩·费儒","尼尔·塞西/比尔·默瑞/本·金斯利","剧情/奇幻/冒险","美国",97907,2016-04-15,"进口分账"
40,"澳门风云2 賭城風雲II",5.6,88378,"王晶/张敏","周润发/张家辉/刘嘉玲","喜剧/动作","香港/中国大陆",97412,2015-02-19,"国产"
41,"西游记之大圣归来",8.2,370410,"田晓鹏","张磊/林子杰/吴文伦","喜剧/动作/动画/奇幻","中国大陆",95525,2015-07-10,"国产"
42,"泰坦尼克号 3D版 Titanic 3D",9.4,164243,"詹姆斯·卡梅隆","莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩","剧情/爱情/灾难","美国",94758,2012-04-10,"进口分账"
43,"老炮儿",7.9,396081,"管虎","冯小刚/许晴/张涵予","剧情/犯罪","中国大陆",90131,2015-12-24,"国产"
44,"智取威虎山",7.7,208481,"徐克","张涵予/梁家辉/林更新","动作/战争/冒险","中国大陆/香港",89983,2014-12-23,"国产"
45,"绝地逃亡 Skiptrace",5.5,57113,"雷尼·哈林","成龙/范冰冰/约翰尼·诺克斯维尔","喜剧/动作","中国大陆/美国/香港",88873,2016-07-21,"国产"
46,"十二生肖",6.7,182871,"成龙","成龙/权相宇/廖凡","喜剧/动作/冒险","中国大陆/香港",88110,2012-12-20,"国产"
47,"碟中谍5：神秘国度 Mission: Impossible - Rogue Nation",7.7,173402,"克里斯托弗·麦奎里","汤姆·克鲁斯/杰瑞米·雷纳/西蒙·佩吉","动作/惊悚/冒险","美国/香港/中国大陆",85557,2015-09-08,"进口分账"
48,"星球大战7：原力觉醒 Star Wars: The Force Awakens",7.1,134002,"J·J·艾布拉姆斯","黛西·雷德利/约翰·博耶加/哈里森·福特","动作/科幻/冒险","美国",82551,2016-01-09,"进口分账"
49,"唐人街探案",7.4,238554,"陈思诚","王宝强/刘昊然/佟丽娅","喜剧/动作/悬疑","中国大陆",82221,2015-12-31,"国产"
50,"从你的全世界路过",5.3,159141,"张一白","邓超/白百何/杨洋","喜剧/爱情","中国大陆",81258,2016-09-29,"国产"
51,"X战警：天启 X-Men: Apocalypse",7.8,191270,"布莱恩·辛格","詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯","动作/科幻/奇幻/冒险","美国",80268,2016-06-03,"进口分账"
52,"北京遇上西雅图之不二情书",6.5,150109,"薛晓路","汤唯/吴秀波/惠英红","喜剧/爱情","中国大陆/香港",78578,2016-04-29,"国产"
53,"蜘蛛侠：英雄归来 Spider-Man: Homecoming",7.4,136200,"乔·沃茨","汤姆·霍兰德/小罗伯特·唐尼/玛丽莎·托梅","动作/科幻/冒险","美国",77413,2017-09-08,"进口分账"
54,"叶问3",6.3,72016,"叶伟信","甄子丹/迈克·泰森/张晋","剧情/传记/动作/历史","中国大陆/香港",77117,2016-03-04,"国产"
55,"霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies",8.2,191700,"彼得·杰克逊","马丁·弗瑞曼/伊恩·麦克莱恩/理查德·阿米蒂奇","动作/奇幻/冒险","美国/新西兰",76681,2015-01-23,"进口特种"
56,"大闹天竺",3.8,62410,"王宝强","王宝强/白客/岳云鹏","喜剧/动作/冒险","中国大陆",75853,2017-01-28,"国产"
57,"钢铁侠3 Iron Man 3",7.5,204652,"沙恩·布莱克","小罗伯特·唐尼/盖·皮尔斯/格温妮斯·帕特洛","动作/科幻","美国/中国大陆",75540,2013-05-01,"进口"
58,"星际穿越 Interstellar",9.1,493661,"克里斯托弗·诺兰","马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦","剧情/科幻/冒险","美国/英国/加拿大/冰岛",75512,2014-11-12,"进口分账"
59,"奇异博士 Doctor Strange",7.7,239537,"斯科特·德瑞克森","本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森","动作/科幻/奇幻/冒险","美国",75152,2016-11-04,"进口分账"
60,"天将雄师",5.9,69225,"李仁港","成龙/约翰·库萨克/艾德里安·布洛迪","动作/战争/古装","中国大陆/香港",74355,2015-02-19,"国产"
61,"猩球崛起3：终极之战 War for the Planet of the Apes",7,85701,"马特·里夫斯","安迪·瑟金斯/伍迪·哈里森/史蒂夫·茨恩","剧情/动作/科幻","美国",73729,2017-09-15,"进口分账"
62,"金刚狼3：殊死一战 Logan",8.3,213623,"詹姆斯·曼高德","休·杰克曼/帕特里克·斯图尔特/达芙妮·基恩","剧情/动作/科幻","美国",73141,2017-03-03,"进口分账"
63,"X战警：逆转未来 X-Men: Days of Future Past",8.2,247933,"布莱恩·辛格","休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德","动作/科幻/冒险","美国/英国",72468,2014-05-23,"进口分账"
64,"美国队长2 Captain America: The Winter Soldier",7.9,210771,"安东尼·罗素/乔·罗素","克里斯·埃文斯/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦","动作/科幻/冒险","美国",72165,2014-04-04,"进口分账"
65,"致我们终将逝去的青春",6.6,329433,"赵薇","杨子姗/赵又廷/韩庚","剧情/爱情","中国大陆",71902,2013-04-26,"国产"
66,"私人订制",5.6,176130,"冯小刚","葛优/白百何/李小璐","喜剧","中国大陆",71680,2013-12-18,"国产"
67,"终结者：创世纪 Terminator Genisys",6.9,89334,"阿兰·泰勒","阿诺·施瓦辛格/杰森·克拉科/艾米莉亚·克拉克","动作/科幻/冒险","美国",70928,2015-08-23,"进口分账"
68,"猩球崛起2：黎明之战 Dawn of the Planet of the Apes",7.5,159316,"马特·里夫斯","安迪·瑟金斯/杰森·克拉科/加里·奥德曼","剧情/动作/科幻","美国",70558,2014-08-29,"进口分账"
69,"画皮2 畫皮Ⅱ",5.9,161277,"乌尔善","周迅/赵薇/陈坤","动作/爱情/奇幻/惊悚","中国大陆/香港",70316,2012-06-28,"国产"
70,"狼图腾",6.9,145100,"让-雅克·阿诺","冯绍峰/窦骁/昂哈妮玛","剧情/冒险","中国大陆/法国",69942,2015-02-19,"国产"
71,"铁道飞虎",5.2,60138,"丁晟","成龙/黄子韬/王凯","喜剧/动作","中国大陆",69906,2016-12-23,"国产"
72,"悟空传",5.1,116074,"郭子健","彭于晏/倪妮/余文乐","剧情/动作/奇幻","中国大陆",69654,2017-07-13,"国产"
73,"爸爸去哪儿",6.1,71694,"谢涤葵/林妍","林志颖/小小志/王岳伦","儿童/喜剧/家庭","中国大陆",69590,2014-01-31,"国产"
74,"环太平洋 Pacific Rim",7.6,250398,"吉尔莫·德尔·托罗","查理·汉纳姆/菊地凛子/伊德里斯·艾尔巴","动作/科幻/冒险/灾难","美国",69583,2013-07-31,"进口分账"
75,"银河护卫队2 Guardians of the Galaxy Vol. 2",8.1,181846,"詹姆斯·古恩","克里斯·普拉特/佐伊·索尔达娜/戴夫·巴蒂斯塔","动作/科幻/冒险","美国",68522,2017-05-05,"进口分账"
76,"九层妖塔",4.2,120679,"陆川","赵又廷/姚晨/凤小岳","动作/惊悚/冒险","中国大陆",68152,2015-09-30,"国产"
77,"寒战2 寒戰II",6.9,142253,"梁乐民/陆剑青","郭富城/梁家辉/杨采妮","剧情/动作/犯罪","中国大陆/香港",67866,2016-07-08,"国产"
78,"碟中谍4 Mission: Impossible - Ghost Protocol",8.2,254324,"布拉德·伯德","汤姆·克鲁斯/杰瑞米·雷纳/西蒙·佩吉","动作/犯罪/惊悚/冒险","美国",67471,2012-01-28,"进口分账"
79,"唐山大地震",7.4,204400,"冯小刚","徐帆/张静初/李晨","剧情/历史/灾难","中国大陆/香港",67332,2010-07-22,"国产"
80,"分手大师",5,176391,"俞白眉/邓超","邓超/杨幂/古力娜扎","喜剧/爱情","中国大陆",66666,2014-06-26,"国产"
81,"蚁人 Ant-Man",7.6,186937,"佩顿·里德","保罗·路德/迈克尔·道格拉斯/伊万杰琳·莉莉","动作/科幻/冒险","美国",65970,2015-10-16,"进口分账"
82,"让子弹飞",8.7,619374,"姜文","姜文/葛优/周润发","剧情/喜剧/动作/西部","中国大陆/香港",65928,2010-12-16,"国产"
83,"情圣",6.1,77436,"宋晓飞/董旭","肖央/闫妮/小沈阳","喜剧","中国大陆",65861,2016-12-29,"国产"
84,"恶棍天使",4,86613,"俞白眉/邓超","邓超/孙俪/代乐乐","喜剧","中国大陆",64892,2015-12-24,"国产"
85,"惊天魔盗团2 Now You See Me 2",6.5,129528,"朱浩伟","杰西·艾森伯格/马克·鲁弗洛/伍迪·哈里森","动作/冒险","美国",63760,2016-06-24,"进口"
86,"后会无期",7.1,376927,"韩寒","冯绍峰/陈柏霖/钟汉良","剧情","中国大陆",62982,2014-07-24,"国产"
87,"新木乃伊 The Mummy",4.7,72477,"艾里克斯·库兹曼","汤姆·克鲁斯/罗素·克劳/安娜贝拉·沃丽丝","动作/奇幻/冒险","美国",62234,2017-06-09,"进口分账"
88,"蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice",6.6,142863,"扎克·施奈德","本·阿弗莱克/亨利·卡维尔/艾米·亚当斯","动作/科幻/奇幻/冒险","美国",61908,2016-03-25,"进口分账"
89,"末日崩塌 San Andreas",7,90015,"布拉德·佩顿","道恩·强森/亚历珊德拉·达达里奥/卡拉·古奇诺","动作/冒险/灾难","美国/澳大利亚",61345,2015-06-02,"进口分账"
90,"功夫熊猫2 Kung Fu Panda 2",8,262218,"吕寅荣","杰克·布莱克/安吉丽娜·朱莉/杨紫琼","喜剧/动作/动画/冒险","美国",61340,2011-05-28,"进口分账"
91,"金陵十三钗",8,306450,"张艺谋","克里斯蒂安·贝尔/倪妮/张歆怡","剧情/历史/战争","中国大陆/香港",60923,2011-12-15,"国产"
92,"神奇女侠 Wonder Woman",7.1,193243,"派蒂·杰金斯","盖尔·加朵/克里斯·派恩/康妮·尼尔森","动作/奇幻/冒险","美国",60773,2017-06-02,"进口分账"
93,"一条狗的使命 A Dog's Purpose",7.7,148122,"拉斯·霍尔斯道姆","乔什·加德/布丽特·罗伯森/丹尼斯·奎德","剧情/喜剧/家庭","美国",60704,2017-03-03,"进口"
94,"使徒行者",6.7,105298,"文伟鸿","张家辉/古天乐/吴镇宇","剧情/动作/犯罪","中国大陆/香港",60611,2016-08-11,"国产"
95,"狄仁杰之神都龙王",6.5,124175,"徐克","赵又廷/冯绍峰/林更新","动作/犯罪/悬疑/古装","中国大陆/香港",60273,2013-09-28,"国产"
96,"2012",7.7,280793,"罗兰·艾默里奇","约翰·库萨克/切瓦特·埃加福特/阿曼达·皮特","动作/科幻/冒险/灾难","美国/加拿大",60223,2012-11-20,"进口分账"
97,"银河护卫队 Guardians of the Galaxy",8,240784,"詹姆斯·古恩","克里斯·普拉特/佐伊·索尔达娜/布莱德利·库珀","动作/科幻/冒险","美国/英国",59297,2014-10-10,"进口分账"
98,"神奇动物在哪里 Fantastic Beasts and Where to Find Them",7.8,255190,"大卫·叶茨","埃迪·雷德梅恩/凯瑟琳·沃特斯顿/丹·福勒","剧情/奇幻/冒险","英国/美国",59170,2016-11-25,"进口分账"
99,"超凡蜘蛛侠2 The Amazing Spider-Man 2",7.2,127867,"马克·韦布","安德鲁·加菲尔德/艾玛·斯通/杰米·福克斯","动作/科幻/冒险","美国",59087,2014-05-04,"进口分账"
100,"美女与野兽 Beauty and the Beast",7.2,154176,"比尔·康顿","艾玛·沃森/丹·史蒂文斯/卢克·伊万斯","爱情/奇幻/歌舞","美国",59074,2017-03-17,"进口分账"
101,"火星救援 The Martian",8.4,296352,"雷德利·斯科特","马特·达蒙/杰西卡·查斯坦/克里斯汀·韦格","剧情/科幻/冒险","美国/英国",57815,2015-11-25,"进口分账"
102,"你的名字。 君の名は。",8.5,412464,"新海诚","神木隆之介/上白石萌音/长泽雅美","剧情/爱情/动画","日本",57666,2016-12-02,"进口"
103,"匆匆那年",5.3,143722,"张一白","彭于晏/倪妮/郑恺","爱情","中国大陆",57480,2014-12-05,"国产"
104,"少年派的奇幻漂流 Life of Pi",9,586467,"李安","苏拉·沙玛/拉菲·斯波/伊尔凡·可汗","剧情/奇幻/冒险","美国/台湾/英国/加拿大",57105,2012-11-22,"进口分账"
105,"复仇者联盟 The Avengers",8,313228,"乔斯·韦登","小罗伯特·唐尼/克里斯·埃文斯/斯嘉丽·约翰逊","动作/科幻/奇幻/冒险","美国",56792,2012-05-05,"进口分账"
106,"大鱼海棠",6.6,230026,"梁旋/张春","季冠霖/苏尚卿/许魏洲","剧情/动画/奇幻","中国大陆",56547,2016-07-08,"国产"
107,"杀破狼2 殺破狼2",7.3,96495,"郑保瑞","吴京/托尼·贾/张晋","剧情/动作/犯罪","香港/中国大陆",56013,2015-06-18,"国产"
108,"龙门飞甲",6.7,174030,"徐克","李连杰/周迅/陈坤","动作/武侠/古装","中国大陆/香港",55596,2011-12-15,"国产"
109,"战狼",6.8,124567,"吴京","吴京/余男/斯科特·阿金斯","动作/战争","中国大陆",54436,2015-04-02,"国产"
110,"中国合伙人",7.6,344037,"陈可辛","黄晓明/邓超/佟大为","剧情","中国大陆/香港",53922,2013-05-17,"国产"
111,"007：幽灵党 Spectre",6.2,114158,"萨姆·门德斯","丹尼尔·克雷格/克里斯托弗·沃尔兹/蕾雅·赛杜","动作/惊悚/冒险","英国/美国",53724,2015-11-13,"进口分账"
112,"警察故事2013",5.7,70710,"丁晟","成龙/刘烨/景甜","剧情/动作/犯罪","中国大陆/香港",53591,2013-12-24,"国产"
113,"三生三世十里桃花",4,122955,"赵小丁/安东尼·拉默里纳拉","刘亦菲/杨洋/罗晋","爱情/奇幻","中国大陆",53454,2017-08-03,"国产"
114,"哆啦A梦：伴我同行 STAND BY ME ドラえもん",7.9,151477,"八木龙一/山崎贵","水田山葵/大原惠美/嘉数由美","剧情/动画","日本",53411,2015-05-28,"进口"
115,"超能陆战队 Big Hero 6",8.6,354833,"唐·霍尔/克里斯·威廉姆斯","斯科特·安第斯/瑞恩·波特/丹尼尔·海尼","喜剧/动作/科幻/动画/冒险","美国",52668,2015-02-28,"进口分账"
116,"澳门风云 賭城風雲",5.6,92711,"王晶/钟少雄","周润发/谢霆锋/杜汶泽","喜剧/动作","中国大陆/香港",52496,2014-01-31,"国产"
117,"熊出没·奇幻空间",6.4,8478,"林永长/林汇达/丁亮","尚雯婕/鲍春来/孙建弘","儿童/动画","中国大陆",52249,2017-01-28,"国产"
118,"小时代3：刺金时代",4.3,128807,"郭敬明","杨幂/柯震东/郭采洁","剧情/喜剧/爱情","中国大陆/台湾",52245,2014-07-17,"国产"
119,"杀破狼·贪狼 殺破狼<U+2027>貪狼",7.4,49430,"叶伟信","古天乐/吴樾/托尼·贾","剧情/动作","香港/中国大陆",52157,2017-08-17,"国产"
120,"北京遇上西雅图",7.4,363907,"薛晓路","汤唯/吴秀波/海清","喜剧/爱情","中国大陆/香港",52000,2013-03-21,"国产"
121,"一步之遥",6.3,173635,"姜文","姜文/葛优/周韵","喜剧/爱情/冒险","中国大陆/美国/香港",51566,2014-12-18,"国产"
122,"愤怒的小鸟 Angry Birds",7,68410,"费格尔·雷利/克雷·卡提斯","杰森·苏戴奇斯/乔什·加德/丹尼·麦克布莱德","喜剧/动作/动画","芬兰/美国",51383,2016-05-20,"进口分账"
123,"滚蛋吧！肿瘤君",7.4,199371,"韩延","白百何/吴彦祖/李媛","喜剧/爱情","中国大陆",51072,2015-08-13,"国产"
124,"黑衣人3 Men in Black III",7.5,174585,"巴里·索南菲尔德","威尔·史密斯/汤米·李·琼斯/乔什·布洛林","动作/喜剧/科幻","美国",50415,2012-05-25,"进口分账"
125,"独立日2：卷土重来 Independence Day: Resurgence",5.6,76961,"罗兰·艾默里奇","利亚姆·海姆斯沃斯/杰夫·高布伦/比尔·普尔曼","动作/科幻/冒险/灾难","美国",50301,2016-06-24,"进口分账"
126,"小时代",4.7,242402,"郭敬明","杨幂/柯震东/郭采洁","剧情/喜剧/爱情","中国大陆/台湾",48814,2013-06-27,"国产"
127,"小时代4：灵魂尽头",4.6,87531,"郭敬明","杨幂/郭采洁/陈学冬","喜剧/爱情","中国大陆",48787,2015-07-09,"国产"
128,"左耳",5.4,119626,"苏有朋","陈都灵/欧豪/马思纯","爱情","中国大陆",48546,2015-04-24,"国产"
129,"王牌特工：特工学院 Kingsman: The Secret Service",8.4,324406,"马修·沃恩","塔伦·埃格顿/科林·费尔斯/塞缪尔·杰克逊","喜剧/动作/冒险","英国/美国",48477,2015-03-27,"进口分账"
130,"我不是潘金莲",6.7,150080,"冯小刚","范冰冰/郭涛/大鹏","剧情/喜剧","中国大陆",48345,2016-11-18,"国产"
131,"摆渡人",4,145144,"张嘉佳","梁朝伟/金城武/陈奕迅","喜剧/爱情","中国大陆/香港",48297,2016-12-23,"国产"
132,"哥斯拉 Godzilla",6.4,103545,"加里斯·爱德华斯","亚伦·泰勒-约翰逊/卡梅隆·CJ·亚当斯/渡边谦","动作/科幻/冒险/灾难","美国/日本",48130,2014-06-13,"进口分账"
133,"非诚勿扰2",6.5,226017,"冯小刚","葛优/舒淇/孙红雷","喜剧/爱情","中国大陆",47880,2010-12-22,"国产"
134,"星球大战外传：侠盗一号 Rogue One: A Star Wars Story",7.3,106584,"加里斯·爱德华斯","菲丽希缇·琼斯/迭戈·卢纳/甄子丹","动作/科幻/冒险","美国",47815,2017-01-06,"进口分账"
135,"加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides",7.5,201384,"罗伯·马歇尔","约翰尼·德普/佩内洛佩·克鲁斯/杰弗里·拉什","动作/奇幻/冒险","美国",47367,2011-05-20,"进口分账"
136,"霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug",8.2,191133,"彼得·杰克逊","伊恩·麦克莱恩/马丁·弗瑞曼/理查德·阿米蒂奇","动作/奇幻/冒险","美国/新西兰",46343,2014-02-21,"进口分账"
137,"盗梦空间 Inception",9.2,776474,"克里斯托弗·诺兰","莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾伦·佩吉","剧情/动作/科幻/悬疑/冒险","美国/英国",46030,2010-09-01,"进口分账"
138,"同桌的妳",5.8,155593,"郭帆","周冬雨/林更新/隋凯","剧情/爱情","中国大陆",45610,2014-04-25,"国产"
139,"变形金刚2 Transformers: Revenge of the Fallen",7.6,218164,"迈克尔·贝","希亚·拉博夫/梅根·福克斯/乔什·杜哈明","动作/科幻","美国",45119,2009-06-26,"进口分账"
140,"冰川时代4 Ice Age: Continental Drift",8,145193,"麦克·特米尔/史蒂夫·马蒂诺","阿兹·安萨里/乔·贝哈/克里斯托弗·坎贝尔","喜剧/动画/冒险","美国",44913,2012-07-27,"进口特种"
141,"敢死队3 The Expendables 3",6.6,72625,"帕特里克·休斯","西尔维斯特·史泰龙/杰森·斯坦森/阿诺·施瓦辛格","动作/惊悚/冒险","美国/法国",44755,2014-09-01,"进口"
142,"冰川时代5：星际碰撞 Ice Age: Collision Course",6.6,42592,"麦克·特米尔/加仑·T·楚","西蒙·佩吉/洁茜J/杰西·泰勒·弗格森","喜剧/动画/冒险","美国",44717,2016-08-23,"进口分账"
143,"谍影重重5 Jason Bourne",7.3,115441,"保罗·格林格拉斯","马特·达蒙/汤米·李·琼斯/艾丽西亚·维坎德","动作/悬疑/惊悚","美国",44703,2016-08-23,"进口分账"
144,"灰姑娘 Cinderella",6.7,117702,"肯尼思·布拉纳","莉莉·詹姆斯/理查德·麦登/凯特·布兰切特","爱情/奇幻/冒险","美国/英国",44558,2015-03-13,"进口分账"
145,"英伦对决 The Foreigner",7.3,46866,"马丁·坎贝尔","成龙/皮尔斯·布鲁斯南/刘涛","动作/惊悚","英国/中国大陆",44509,2017-09-30,"国产"
146,"奔跑吧！兄弟",3.3,34589,"胡笳/岑俊义","杨颖/王宝强/李晨","喜剧","中国大陆",44394,2015-01-30,"国产"
147,"星际迷航3：超越星辰 Star Trek Beyond",7.3,90659,"林诣彬","克里斯·派恩/扎克瑞·昆图/佐伊·索尔达娜","动作/科幻/冒险","美国",44092,2016-09-02,"进口分账"
148,"小黄人大眼萌 Minions",7.3,131613,"凯尔·巴尔达/皮埃尔·柯芬","桑德拉·布洛克/乔恩·哈姆/迈克尔·基顿","喜剧/动画","美国",43206,2015-09-13,"进口分账"
149,"地心引力 Gravity",7.8,243280,"阿方索·卡隆","桑德拉·布洛克/乔治·克鲁尼/艾德·哈里斯","剧情/科幻/冒险","美国/英国",42981,2013-11-19,"进口分账"
150,"血战钢锯岭 Hacksaw Ridge",8.7,291888,"梅尔·吉布森","安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩","剧情/传记/动作/历史/战争","美国/澳大利亚",42654,2016-12-08,"进口"
